Applications,Models,FLSNN Accuracy,FLSNN Speedup,RandomSNN Accuracy,RandomSNN Speedup,FedProx Accuracy,FedProx Speedup,FedFOMO Accuracy,FedFOMO Speedup
noniid,AlexNet 0.25,50.56,1.0,36.63,2.35843194352002,62.0,2.0941789487020306,84.23371335587329,7.350604612876153
noniid,AlexNet 0.5,73.35,1.0,49.42,2.35843194352002,69.0,2.0941789487020306,82.3375884592248,7.350604612876153
noniid,AlexNet 0.75,83.33,1.0,57.0,2.35843194352002,73.0,2.0941789487020306,85.20844726122252,7.350604612876153
noniid,AlexNet 1.0,84.25,1.0,51.69,2.35843194352002,72.0,2.0941789487020306,85.9462075075676,4.546941327901725
